commune,etat,activite_principale,soussection,section,date_creation,date_fermeture
BOUERE,Actif,46.19B,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2014-02-01,
CHATEAU-GONTIER-SUR-MAYENNE,Fermé,55.3A,Hôtels et restaurants,Hôtels et restaurants,2000-03-02,
CORZE,Actif,01.62Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2010-05-01,
BRETIGNOLLES-SUR-MER,Actif,01.49Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2021-01-01,
BOUGUENAIS,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1993-03-07,1994-01-08
DIVATTE-SUR-LOIRE,Actif,68.20B,Activités immobilières,Activités immobilières,2014-12-19,
MAMERS,Fermé,43.99C,Travaux de construction spécialisés,Construction,2009-03-02,2011-09-06
SAINTE-PAZANNE,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2020-01-01,
COULANS-SUR-GEE,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,1900-01-01,
LE LOROUX-BOTTEREAU,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2021-01-01,
LOIREAUXENCE,Actif,85.53Z,Enseignement,Enseignement,2015-08-13,
SAUTRON,Actif,68.20B,Activités immobilières,Activités immobilières,2007-02-02,
SAINT-HILAIRE-DE-RIEZ,Actif,68.20A,Activités immobilières,Activités immobilières,2002-01-01,
BONNETABLE,Actif,90.01Z,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2005-08-01,
LES MOUTIERS-EN-RETZ,Actif,85.59A,Enseignement,Enseignement,2010-03-01,
GORGES,Actif,68.31Z,Activités immobilières,Activités immobilières,2021-01-11,
NANTES,Fermé,85.59B,Enseignement,Enseignement,2020-03-17,2021-09-26
NANTES,Actif,68.20A,Activités immobilières,Activités immobilières,2015-09-08,
BOUSSE,Actif,01.11Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1986-02-01,
NANTES,Actif,68.20A,Activités immobilières,Activités immobilières,2024-12-06,
RUAUDIN,Actif,66.30Z,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2023-10-20,
CHANVERRIE,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2013-12-20,
ANGERS,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2002-10-02,2004-06-01
CORDEMAIS,Fermé,94.99Z,Activités des organisations associatives,Autres activités de services,1982-01-05,2010-01-01
TREILLIERES,Actif,93.29Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2024-11-01,
CHATEAUBRIANT,Actif,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2017-07-23,
SAINT-NAZAIRE,Actif,96.09Z,Autres services personnels,Autres activités de services,2023-11-15,
SEVREMOINE,Fermé,93.0D,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",2004-10-01,
VERRIERES-EN-ANJOU,Actif,68.20A,Activités immobilières,Activités immobilières,2023-07-31,
QUELAINES-SAINT-GAULT,Fermé,43.21A,Travaux de construction spécialisés,Construction,2012-10-13,2017-08-28
LE FENOUILLER,Actif,68.20B,Activités immobilières,Activités immobilières,2021-06-17,
MONTVAL-SUR-LOIR,Actif,43.22A,Travaux de construction spécialisés,Construction,2023-10-04,
LE MANS,Actif,68.20A,Activités immobilières,Activités immobilières,2010-12-21,
NANTES,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2018-08-02,
AIGREFEUILLE-SUR-MAINE,Fermé,71.11Z,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2018-02-23,2024-12-31
CHATEAUBRIANT,Fermé,85.1C,Santé et action sociale,Santé et action sociale,1982-07-01,
NANTES,Fermé,74.1A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1983-01-01,1995-05-01
NANTES,Fermé,74.1A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1995-05-01,1996-11-03
PAIMBŒUF,Actif,93.29Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2022-09-04,
MAYENNE,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2006-01-01,
LA FLECHE,Actif,96.02B,Autres services personnels,Autres activités de services,2025-01-06,
ORVAULT,Actif,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2024-05-01,
LA BAULE-ESCOUBLAC,Actif,56.10A,Restauration,Hébergement et restauration,2020-06-15,
LOUE,Actif,94.91Z,Activités des organisations associatives,Autres activités de services,1984-01-01,
LES SORINIERES,Actif,01.13Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2009-05-01,
REZE,Fermé,68.20B,Activités immobilières,Activités immobilières,2015-12-01,2023-02-22
NANTES,Fermé,74.4B,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1986-04-01,
ORVAULT,Fermé,64.20Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,2018-10-01,2020-11-28
SAINT-PAUL-LE-GAULTIER,Actif,45.32Z,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2016-10-01,
PUCEUL,Fermé,68.20B,Activités immobilières,Activités immobilières,2013-06-05,2023-04-14
ANGERS,Actif,68.20A,Activités immobilières,Activités immobilières,2022-07-26,
PRECIGNE,Actif,96.02B,Autres services personnels,Autres activités de services,2024-09-02,
NANTES,Actif,69.10Z,Activités juridiques et comptables,"Activités spécialisées, scientifiques et techniques",2023-10-02,
NANTES,Actif,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2021-07-01,
NANTES,Actif,68.31Z,Activités immobilières,Activités immobilières,2017-12-05,
LEGE,Actif,68.20B,Activités immobilières,Activités immobilières,2010-02-18,
LA ROCHE-SUR-YON,Actif,59.11A,"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",Information et communication,2024-04-01,
VALLONS-DE-L'ERDRE,Actif,43.34Z,Travaux de construction spécialisés,Construction,2015-09-01,
BOUGUENAIS,Fermé,72.4Z,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1998-09-01,2001-01-01
ANCENIS-SAINT-GEREON,Actif,85.53Z,Enseignement,Enseignement,2024-09-02,
DURTAL,Actif,68.20B,Activités immobilières,Activités immobilières,1998-11-03,
RIVES-DU-FOUGERAIS,Actif,68.20A,Activités immobilières,Activités immobilières,2011-01-01,
ROUANS,Fermé,96.02A,Autres services personnels,Autres activités de services,2013-06-10,2018-03-01
CHALLANS,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1988-04-01,
SAINT-ETIENNE-DE-MONTLUC,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2014-02-01,2014-09-01
VARENNES-SUR-LOIRE,Actif,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2019-09-09,
VARENNES-SUR-LOIRE,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2019-08-15,2019-09-09
REZE,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2014-08-04,2019-08-15
DOUE-EN-ANJOU,Actif,01.11Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2011-04-01,
SUCE-SUR-ERDRE,Actif,62.01Z,"Programmation, conseil et autres activités informatiques",Information et communication,2025-02-27,
LA CHAPELLE-HEULIN,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2021-09-02,
SAINT-HERBLAIN,Fermé,43.21A,Travaux de construction spécialisés,Construction,2006-02-01,2014-01-02
NANTES,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2017-03-01,2019-10-31
ETRICHE,Actif,68.20B,Activités immobilières,Activités immobilières,2016-12-01,
LOIRON-RUILLE,Fermé,82.99Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2009-08-01,2012-03-01
NANTES,Actif,90.03B,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2023-07-26,
HERBIGNAC,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2017-03-24,
CHANGE,Actif,74.10Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2023-08-21,
NANTES,Actif,68.20B,Activités immobilières,Activités immobilières,2022-03-21,
LES MAGNILS-REIGNIERS,Actif,93.12Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2013-07-08,
NANTES,Actif,43.32A,Travaux de construction spécialisés,Construction,2024-07-12,
SAINT-NAZAIRE,Fermé,55.3A,Hôtels et restaurants,Hôtels et restaurants,1993-11-15,
NANTES,Fermé,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2016-02-01,2019-02-28
LE MANS,Fermé,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2015-08-01,2016-05-23
ERNEE,Fermé,38.32Z,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2014-01-01,2015-09-30
GARNACHE (LA),Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1988-10-01,1992-12-18
ANGERS,Actif,71.20B,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2023-04-11,
LE MANS,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2022-09-22,
LES SABLES D'OLONNE,Fermé,96.02A,Autres services personnels,Autres activités de services,2009-01-19,2015-10-30
MAYENNE,Fermé,47.04,Industrie de l'habillement,Habillement sur mesure,,1988-12-24
NANTES,Actif,68.20B,Activités immobilières,Activités immobilières,2001-10-08,
COURTILLERS,Actif,68.31Z,Activités immobilières,Activités immobilières,2025-01-17,
LE LION D'ANGERS,Fermé,73.12Z,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",2012-10-04,2013-03-26
NANTES,Fermé,92.3H,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",1999-12-15,
SAINT-JULIEN-DES-LANDES,Actif,74.20Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2021-05-01,
SAINT-NAZAIRE,Actif,68.31Z,Activités immobilières,Activités immobilières,2024-10-01,
SAINT-SEBASTIEN-SUR-LOIRE,Actif,81.21Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2017-10-27,
ANGERS,Fermé,86.22C,Activités pour la santé humaine,Santé humaine et action sociale,2007-10-01,2016-09-01
VERRIERES-EN-ANJOU,Actif,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2024-01-12,
LE MANS,Actif,43.34Z,Travaux de construction spécialisés,Construction,2024-05-22,
TERVAL,Actif,85.20Z,Enseignement,Enseignement,2009-09-01,
NANTES,Actif,68.20A,Activités immobilières,Activités immobilières,1991-10-15,
REZE,Fermé,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2002-12-16,2010-04-01
COUERON,Fermé,59.11A,"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",Information et communication,2020-03-16,2022-08-01
SAINTE-GEMMES-SUR-LOIRE,Fermé,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2018-06-15,2018-12-05
LE MANS,Fermé,96.02A,Autres services personnels,Autres activités de services,2012-05-12,2015-12-09
SAINT-NICOLAS-DE-REDON,Fermé,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2008-10-13,2016-08-01
BEAULIEU-SUR-LAYON,Fermé,92.3A,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",2001-04-01,2007-05-01
ANGERS,Actif,85.59A,Enseignement,Enseignement,2012-09-01,
CHALONNES-SUR-LOIRE,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2023-06-01,2024-11-02
MEZIERES-SUR-PONTHOUIN,Actif,33.20A,Réparation et installation de machines et d'équipements,Industrie manufacturière,2022-09-27,
BELLEVIGNE-EN-LAYON,Fermé,85.3J,Santé et action sociale,Santé et action sociale,1983-07-01,2004-12-31
BELLEVIGNE-EN-LAYON,Fermé,88.10A,Action sociale sans hébergement,Santé humaine et action sociale,2010-01-01,2013-01-01
LAVAL,Actif,90.03A,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2023-07-13,
SAINT-HERBLAIN,Fermé,66.30Z,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2021-04-30,2022-08-29
CHALLANS,Actif,62.01Z,"Programmation, conseil et autres activités informatiques",Information et communication,2008-01-02,
LA CHAPELLE-SAINT-LAUD,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2020-10-01,2022-03-01
TRANS,Actif,41.20B,Construction de bâtiments,Construction,1992-10-01,
PORNIC,Fermé,96.09Z,Autres services personnels,Autres activités de services,2015-01-19,2017-08-01
POUILLE,Actif,47.91A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2020-09-01,
SAINT-HERBLAIN,Fermé,62.09Z,"Programmation, conseil et autres activités informatiques",Information et communication,2005-05-15,
SAINT-HILAIRE-DU-MAINE,Actif,68.20B,Activités immobilières,Activités immobilières,2019-03-14,
MONTVAL-SUR-LOIR,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2009-01-08,2012-01-16
LE GRAND-LUCE,Actif,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2012-01-16,
SAINT-HERBLAIN,Actif,68.20A,Activités immobilières,Activités immobilières,2021-05-26,
MISSILLAC,Actif,68.20A,Activités immobilières,Activités immobilières,2022-08-06,
SAINT-HERBLAIN,Fermé,68.31Z,Activités immobilières,Activités immobilières,2021-10-01,2024-06-01
VEZINS,Fermé,20.5A,Travail du bois et fabrication d'articles en bois,Industrie manufacturière,1998-04-03,1999-04-01
SAUMUR,Actif,74.20Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2024-03-11,
SEVREMOINE,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2023-08-01,
LE MANS,Fermé,43.29A,Travaux de construction spécialisés,Construction,2018-11-01,2022-05-09
SAINT GERVAIS DE VIC,Actif,68.20B,Activités immobilières,Activités immobilières,1995-04-01,
LES SABLES D'OLONNE,Actif,47.76Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2017-06-01,
VEZINS,Actif,82.99Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2025-03-11,
MERAL,Actif,64.20Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,2013-11-04,
CHAMBELLAY,Actif,93.29Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2024-08-10,
SAINT-PHILBERT-DE-GRAND-LIEU,Actif,68.20B,Activités immobilières,Activités immobilières,1987-12-31,
CARQUEFOU,Fermé,50.3B,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1993-08-18,
ROUILLON,Actif,68.20A,Activités immobilières,Activités immobilières,2000-02-14,
ANGERS,Actif,68.20A,Activités immobilières,Activités immobilières,2020-06-19,
SAUTRON,Actif,68.20B,Activités immobilières,Activités immobilières,2000-03-27,
AIZENAY,Actif,71.12B,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2024-10-15,
LA CROPTE,Fermé,56.10A,Restauration,Hébergement et restauration,2014-04-29,2016-07-20
CHATEAUBRIANT,Actif,85.52Z,Enseignement,Enseignement,2014-09-01,
LE MANS,Actif,68.20B,Activités immobilières,Activités immobilières,1989-12-29,
LES HERBIERS,Actif,43.99C,Travaux de construction spécialisés,Construction,2022-02-01,
SAINT-LEGER-SOUS-CHOLET,Fermé,68.20B,Activités immobilières,Activités immobilières,2017-11-07,2021-01-04
RIVES-DU-LOIR-EN-ANJOU,Fermé,68.20A,Activités immobilières,Activités immobilières,2022-06-01,
NANTES,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2012-03-17,2014-01-01
NANTES,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2015-04-15,2018-03-05
TIERCE,Actif,46.69B,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2005-09-01,
L'ILE-D'ELLE,Actif,93.12Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",1991-03-16,
MOUZILLON,Fermé,52.5Z,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1997-06-03,1998-05-30
